cap-shape,cap-surface,cap-color,bruises%3F,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-type,spore-print-color,population,habitat,class
convex,smooth,brown,TRUE,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,urban,poisonous
convex,smooth,yellow,TRUE,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,numerous,grasses,edible
bell,smooth,white,TRUE,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,numerous,meadows,edible
convex,scaly,white,TRUE,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,urban,poisonous
convex,smooth,gray,FALSE,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,partial,white,evanescent,brown,abundant,grasses,edible
convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,black,numerous,grasses,edible
bell,smooth,white,TRUE,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,partial,white,pendant,black,numerous,meadows,edible
bell,scaly,white,TRUE,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,meadows,edible
convex,scaly,white,TRUE,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,partial,white,pendant,black,several,grasses,poisonous
bell,smooth,yellow,TRUE,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,meadows,edible
convex,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,numerous,grasses,edible
convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,partial,white,pendant,black,scattered,meadows,edible
bell,smooth,yellow,TRUE,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,partial,white,pendant,brown,scattered,grasses,edible
